image_id,impervious_surface,building,low_vegetation,tree,car
top_potsdam_2_10,1,1,1,1,1
top_potsdam_2_11,1,1,1,1,1
top_potsdam_2_12,1,1,1,1,1
top_potsdam_2_13,1,1,1,1,1
top_potsdam_2_14,1,1,1,1,1
top_potsdam_3_10,1,1,1,1,1
top_potsdam_3_11,1,1,1,1,1
top_potsdam_3_12,1,1,1,1,1
top_potsdam_3_13,1,1,1,1,1
top_potsdam_3_14,1,1,1,1,1
top_potsdam_4_10,1,1,1,1,1
top_potsdam_4_11,1,1,1,1,1
top_potsdam_4_12,0,0,0,0,0
top_potsdam_4_13,1,1,1,1,1
top_potsdam_4_14,1,1,1,1,1
top_potsdam_4_15,1,1,1,1,1
top_potsdam_5_10,1,1,1,1,1
top_potsdam_5_11,1,1,1,1,1
top_potsdam_5_12,1,1,1,1,1
top_potsdam_5_13,1,1,1,1,1
top_potsdam_5_14,1,1,1,1,1
top_potsdam_5_15,1,1,1,1,1
top_potsdam_6_10,1,1,1,1,1
top_potsdam_6_11,1,1,1,1,1
top_potsdam_6_12,1,1,1,1,1
top_potsdam_6_13,1,1,1,1,1
top_potsdam_6_14,1,1,1,1,1
top_potsdam_6_15,1,1,1,1,1
top_potsdam_6_7,1,1,1,1,1
top_potsdam_6_8,1,1,1,1,1
top_potsdam_6_9,1,1,1,1,1
top_potsdam_7_10,1,1,1,1,1
top_potsdam_7_11,1,1,1,1,1
top_potsdam_7_12,1,1,1,1,1
top_potsdam_7_13,1,1,1,1,1
top_potsdam_7_7,1,1,1,1,1
top_potsdam_7_8,1,1,1,1,1
top_potsdam_7_9,1,1,1,1,1
